,code,en_name,ch_name
0,N00,Acute nephritic syndrome,急性腎炎症候群
1,N000,Acute nephritic syndrome with minor glomerular abnormality,急性腎炎症候群伴有輕微腎絲球異常
2,N001,Acute nephritic syndrome with focal and segmental glomerular lesions,急性腎炎症候群伴有局部及節段性腎絲球病灶
3,N002,Acute nephritic syndrome with diffuse membranous glomerulonephritis,急性腎炎症候群伴有瀰漫性膜性腎絲球腎炎
4,N003,Acute nephritic syndrome with diffuse mesangial proliferative glomerulonephritis,急性腎炎症候群伴有瀰漫性腎間質細胞增生性腎絲球腎炎
5,N004,Acute nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis,急性腎炎症候群伴有瀰漫性微血管內增生性腎絲球腎炎
6,N005,Acute nephritic syndrome with diffuse mesangiocapillary glomerulonephritis,急性腎炎症候群伴有瀰漫性腎絲球間質微血管腎絲球腎炎
7,N006,Acute nephritic syndrome with dense deposit disease,急性腎炎症候群伴有緻密性免疫沈積疾病
8,N007,Acute nephritic syndrome with diffuse crescentic glomerulonephritis,急性腎炎症候群伴有瀰漫性新月形腎絲球腎炎
9,N008,Acute nephritic syndrome with other morphologic changes,急性腎炎症候群伴有其他組織形態改變
10,N009,Acute nephritic syndrome with unspecified morphologic changes,急性腎炎症候群伴有非特異性的組織形態改變
11,N01,Rapidly progressive nephritic syndrome,快速進行性腎炎症候群
12,N010,Rapidly progressive nephritic syndrome with minor glomerular abnormality,快速進行性腎炎症候群伴有輕微腎絲球異常
13,N011,Rapidly progressive nephritic syndrome with focal and segmental glomerular lesions,快速進行性腎炎症候群伴有局部及節段性腎絲球病灶
14,N012,Rapidly progressive nephritic syndrome with diffuse membranous glomerulonephritis,快速進行性腎炎症候群伴有瀰漫性膜性腎絲球腎炎
15,N013,Rapidly progressive nephritic syndrome with diffuse mesangial proliferative glomerulonephritis,快速進行性腎炎症候群伴有瀰漫性腎間質細胞增生性腎絲球腎炎
16,N014,Rapidly progressive nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis,快速進行性腎炎症候群伴有瀰漫性微血管內增生性腎絲球腎炎
17,N015,Rapidly progressive nephritic syndrome with diffuse mesangiocapillary glomerulonephritis,快速進行性腎炎症候群伴有瀰漫性腎絲球間質微血管腎絲球腎炎
18,N016,Rapidly progressive nephritic syndrome with dense deposit disease,快速進行性腎炎症候群伴有緻密性免疫沈積疾病
19,N017,Rapidly progressive nephritic syndrome with diffuse crescentic glomerulonephritis,快速進行性腎炎症候群伴有瀰漫性新月形腎絲球腎炎
20,N018,Rapidly progressive nephritic syndrome with other morphologic changes,快速進行性腎炎症候群伴有其他組織形態改變
21,N019,Rapidly progressive nephritic syndrome with unspecified morphologic changes,快速進行性腎炎症候群伴有非特異性的組織形態改變
22,N02,Recurrent and persistent hematuria,再發性及持續性血尿
23,N020,Recurrent and persistent hematuria with minor glomerular abnormality,再發性及持續性血尿伴有輕微腎絲球異常
24,N021,Recurrent and persistent hematuria with focal and segmental glomerular lesions,再發性及持續性血尿伴有局部及節段性腎絲球病灶
25,N022,Recurrent and persistent hematuria with diffuse membranous glomerulonephritis,再發性及持續性血尿伴有瀰漫性膜性腎絲球腎炎
26,N023,Recurrent and persistent hematuria with diffuse mesangial proliferative glomerulonephritis,再發性及持續性血尿伴有瀰漫性腎間質細胞增生性腎絲球腎炎
27,N024,Recurrent and persistent hematuria with diffuse endocapillary proliferative glomerulonephritis,再發性及持續性血尿伴有瀰漫性微血管內增生性腎絲球腎炎
28,N025,Recurrent and persistent hematuria with diffuse mesangiocapillary glomerulonephritis,再發性及持續性血尿伴有瀰漫性腎絲球間質微血管腎絲球腎炎
29,N026,Recurrent and persistent hematuria with dense deposit disease,再發性及持續性血尿伴有緻密性免疫沈積疾病
30,N027,Recurrent and persistent hematuria with diffuse crescentic glomerulonephritis,再發性及持續性血尿伴有瀰漫性新月形腎絲球腎炎
31,N028,Recurrent and persistent hematuria with other morphologic changes,再發性及持續性血尿伴有其他組織形態改變
32,N029,Recurrent and persistent hematuria with unspecified morphologic changes,再發性及持續性血尿伴有非特異性的組織形態改變
33,N03,Chronic nephritic syndrome,慢性腎炎症候群
34,N030,Chronic nephritic syndrome with minor glomerular abnormality,慢性腎炎症候群伴有輕微腎絲球異常
35,N031,Chronic nephritic syndrome with focal and segmental glomerular lesions,慢性腎炎症候群伴有局部及節段性腎絲球病灶
36,N032,Chronic nephritic syndrome with diffuse membranous glomerulonephritis,慢性腎炎症候群伴有瀰漫性膜性腎絲球腎炎
37,N033,Chronic nephritic syndrome with diffuse mesangial proliferative glomerulonephritis,慢性腎炎症候群伴有瀰漫性腎間質細胞增生性腎絲球腎炎
38,N034,Chronic nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis,慢性腎炎症候群伴有瀰漫性微血管內增生性腎絲球腎炎
39,N035,Chronic nephritic syndrome with diffuse mesangiocapillary glomerulonephritis,慢性腎炎症候群伴有瀰漫性腎絲球間質微血管腎絲球腎炎
40,N036,Chronic nephritic syndrome with dense deposit disease,慢性腎炎症候群伴有緻密性免疫沈積疾病
41,N037,Chronic nephritic syndrome with diffuse crescentic glomerulonephritis,慢性腎炎症候群伴有瀰漫性新月形腎絲球腎炎
42,N038,Chronic nephritic syndrome with other morphologic changes,慢性腎炎症候群伴有其他組織形態改變
43,N039,Chronic nephritic syndrome with unspecified morphologic changes,慢性腎炎症候群伴有非特異性的組織形態改變
44,N04,Nephrotic syndrome,腎病症候群
45,N040,Nephrotic syndrome with minor glomerular abnormality,腎病症候群伴有輕微腎絲球異常
46,N041,Nephrotic syndrome with focal and segmental glomerular lesions,腎病症候群伴有局部及節段性腎絲球病灶
47,N042,Nephrotic syndrome with diffuse membranous glomerulonephritis,腎病症候群伴有瀰漫性膜性腎絲球腎炎
48,N043,Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis,腎病症候群伴有瀰漫性腎絲球間質細胞增生性腎絲球腎炎
49,N044,Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis,腎病症候群伴有瀰漫性微血管內增生性腎絲球腎炎
50,N045,Nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis,腎病症候群伴有瀰漫性腎絲球間質微血管腎絲球腎炎
51,N046,Nephrotic syndrome with dense deposit disease,腎病症候群伴有緻密性免疫沈積疾病
52,N047,Nephrotic syndrome with diffuse crescentic glomerulonephritis,腎病症候群伴有瀰漫性新月形腎絲球腎炎
53,N048,Nephrotic syndrome with other morphologic changes,腎病症候群伴有其他組織形態改變
54,N049,Nephrotic syndrome with unspecified morphologic changes,腎病症候群伴有非特異性的組織形態改變
55,N05,Unspecified nephritic syndrome,非特異性的腎炎症候群
56,N050,Unspecified nephritic syndrome with minor glomerular abnormality,非特異性的腎炎症候群伴有輕微腎絲球異常
57,N051,Unspecified nephritic syndrome with focal and segmental glomerular lesions,非特異性的腎炎症候群伴有局部及節段性腎絲球病灶
